step,sim_time,queue_total,waiting_time_avg,throughput,delay_total,stops
10,10.0,3.0,0.01950585175552666,0,15.0,9
20,20.0,14.0,0.1235370611183355,0,95.0,52
30,30.0,25.0,0.3563068920676203,0,274.0,152
40,40.0,24.0,0.4798439531859558,0,369.0,287
50,50.0,29.0,0.5539661898569571,0,426.0,439
60,60.0,45.0,0.8764629388816645,0,674.0,617
70,70.0,34.0,0.6684005201560468,0,514.0,813
80,80.0,63.0,1.3081924577373212,2,1006.0,1096
90,90.0,78.0,1.975292587776333,-2,1519.0,1505
100,100.0,53.0,1.033810143042913,0,795.0,1741
110,110.0,100.0,2.05851755526658,0,1583.0,2151
120,120.0,143.0,3.507152145643693,0,2697.0,2759
130,130.0,135.0,3.906371911573472,0,3004.0,3281
140,140.0,146.0,4.838751625487646,1,3721.0,3896
150,150.0,173.0,6.152145643693108,0,4731.0,4640
160,160.0,123.0,3.2392717815344603,1,2491.0,5329
170,170.0,162.0,5.027308192457737,-2,3866.0,6217
180,180.0,237.0,7.3732119635890765,1,5670.0,7418
190,190.0,100.0,3.5370611183355005,0,2720.0,8032
200,200.0,157.0,4.924577373211964,0,3787.0,8668
210,210.0,208.0,6.586475942782835,0,5065.0,9631
220,220.0,224.0,8.05591677503251,1,6195.0,10672
230,230.0,266.0,10.52925877763329,-1,8097.0,11884
240,240.0,291.0,9.16775032509753,-1,7050.0,13164
250,250.0,220.0,5.916775032509753,0,4550.0,14101
260,260.0,303.0,9.293888166449936,0,7147.0,15359
270,270.0,331.0,11.262678803641093,0,8661.0,16943
280,280.0,199.0,6.77373211963589,2,5209.0,17918
290,290.0,197.0,8.377113133940181,-1,6442.0,18878
300,300.0,299.0,11.563068920676203,-1,8892.0,20161
310,310.0,366.0,13.648894668400521,0,10496.0,21729
320,320.0,360.0,14.252275682704811,1,10960.0,23434
330,330.0,355.0,14.817945383615085,-1,11395.0,25107
340,340.0,379.0,16.556566970091026,1,12732.0,26818
350,350.0,481.0,21.984395318595578,-1,16906.0,29023
360,360.0,554.0,28.4369310793238,0,21868.0,31763
370,370.0,294.0,18.77633289986996,0,14439.0,33100
380,380.0,356.0,22.690507152145642,0,17449.0,34533
390,390.0,325.0,16.24967490247074,0,12496.0,36077
400,400.0,277.0,12.362808842652797,2,9507.0,37507
410,410.0,256.0,10.629388816644994,-2,8174.0,38924
420,420.0,374.0,13.331599479843954,0,10252.0,40838
430,430.0,363.0,11.908972691807543,0,9158.0,42794
440,440.0,424.0,15.803641092327698,2,12153.0,44983
450,450.0,448.0,18.741222366710012,-2,14412.0,47303
460,460.0,326.0,15.118335500650195,1,11626.0,48830
470,470.0,333.0,11.06371911573472,1,8508.0,50285
480,480.0,423.0,14.919375812743823,0,11473.0,52063
490,490.0,311.0,12.959687906371911,1,9966.0,53430
500,500.0,361.0,14.94148244473342,-2,11490.0,54978
510,510.0,412.0,18.42782834850455,1,14171.0,56894
520,520.0,319.0,14.016905071521457,0,10779.0,58675
530,530.0,365.0,13.270481144343304,1,10205.0,60683
540,540.0,441.0,16.551365409622885,-2,12728.0,63131
550,550.0,265.0,10.485045513654097,1,8063.0,64571
560,560.0,373.0,14.421326397919376,4,11090.0,65986
570,570.0,446.0,17.9037711313394,-4,13768.0,67852
580,580.0,483.0,22.60858257477243,-1,17386.0,69927
590,590.0,485.0,24.851755526657996,1,19111.0,72181
600,600.0,506.0,28.381014304291288,1,21825.0,74525
610,610.0,344.0,23.631989596879063,1,18173.0,76181
620,620.0,359.0,17.397919375812744,-1,13379.0,77852
630,630.0,439.0,20.803641092327698,-2,15998.0,79819
