step,sim_time,queue_total,waiting_time_avg,throughput,delay_total,stops
10,10.0,3.0,0.01950585175552666,0,15.0,9
20,20.0,14.0,0.1235370611183355,0,95.0,52
30,30.0,23.0,0.3693107932379714,0,284.0,155
40,40.0,23.0,0.48764629388816644,0,375.0,311
50,50.0,42.0,0.9128738621586476,0,702.0,518
60,60.0,37.0,0.7503250975292588,0,577.0,692
70,70.0,44.0,1.0,0,769.0,945
80,80.0,59.0,0.9908972691807543,2,762.0,1255
90,90.0,82.0,1.76332899869961,-2,1356.0,1730
100,100.0,113.0,2.8556566970091026,0,2196.0,2358
110,110.0,65.0,1.3394018205461637,0,1030.0,2808
120,120.0,80.0,1.6137841352405722,0,1241.0,3084
130,130.0,103.0,2.576072821846554,0,1981.0,3507
140,140.0,125.0,3.6644993498049416,1,2818.0,4025
150,150.0,113.0,3.023407022106632,-1,2325.0,4713
160,160.0,93.0,1.8959687906371911,2,1458.0,5343
170,170.0,146.0,3.3159947984395317,-2,2550.0,5956
180,180.0,191.0,5.0650195058517555,0,3895.0,6822
190,190.0,193.0,4.720416124837452,1,3630.0,7892
200,200.0,233.0,5.868660598179454,0,4513.0,9107
210,210.0,187.0,4.755526657997399,-1,3657.0,10372
220,220.0,215.0,6.434330299089727,1,4948.0,11245
230,230.0,166.0,4.5773732119635895,2,3520.0,12061
240,240.0,206.0,5.897269180754226,-3,4535.0,12910
250,250.0,269.0,8.036410923276984,1,6180.0,14015
260,260.0,311.0,10.459037711313394,0,8043.0,15427
270,270.0,237.0,7.840052015604681,-1,6029.0,16530
280,280.0,229.0,6.953185955786736,1,5347.0,17639
290,290.0,281.0,9.033810143042913,3,6947.0,18972
300,300.0,279.0,8.99479843953186,-3,6917.0,20430
310,310.0,320.0,11.053315994798439,-1,8500.0,22023
320,320.0,276.0,8.921976592977893,0,6861.0,23448
330,330.0,287.0,9.332899869960988,0,7177.0,25015
340,340.0,299.0,9.339401820546163,0,7182.0,26620
350,350.0,296.0,9.945383615084525,0,7648.0,28156
360,360.0,317.0,11.192457737321197,1,8607.0,29748
370,370.0,241.0,9.197659297789336,-1,7073.0,31143
380,380.0,295.0,9.235370611183354,2,7102.0,32494
390,390.0,342.0,8.99479843953186,-1,6917.0,34159
400,400.0,363.0,9.973992197659298,0,7670.0,36130
410,410.0,353.0,10.791937581274382,0,8299.0,38173
420,420.0,361.0,12.443433029908972,0,9569.0,40168
430,430.0,417.0,14.864759427828348,1,11431.0,42195
440,440.0,300.0,8.81144343302991,-2,6776.0,43961
450,450.0,290.0,9.498049414824447,1,7304.0,45455
460,460.0,339.0,12.869960988296489,3,9897.0,47031
470,470.0,360.0,12.267880364109233,1,9434.0,48857
480,480.0,339.0,12.804941482444734,-1,9847.0,50635
490,490.0,393.0,15.252275682704811,-3,11729.0,52489
500,500.0,355.0,12.180754226267881,0,9367.0,54585
510,510.0,393.0,11.52665799739922,1,8864.0,56675
520,520.0,418.0,13.512353706111833,3,10391.0,59082
530,530.0,455.0,13.914174252275682,-4,10700.0,61433
540,540.0,415.0,13.41222366710013,0,10314.0,63678
550,550.0,439.0,15.12743823146944,0,11633.0,65807
560,560.0,429.0,14.652795838751626,1,11268.0,67904
570,570.0,386.0,13.713914174252276,0,10546.0,69911
580,580.0,329.0,12.564369310793237,0,9662.0,71636
590,590.0,352.0,14.609882964889467,0,11235.0,73222
600,600.0,352.0,16.39921976592978,0,12611.0,75052
610,610.0,417.0,18.065019505851755,0,13892.0,77060
620,620.0,349.0,14.235370611183354,1,10947.0,78997
630,630.0,327.0,11.266579973992197,-2,8664.0,80840
