step,sim_time,queue_total,waiting_time_avg,throughput,delay_total,stops
10,10.0,3.0,0.01950585175552666,0,15.0,9
20,20.0,14.0,0.1235370611183355,0,95.0,52
30,30.0,23.0,0.3693107932379714,0,284.0,155
40,40.0,23.0,0.48764629388816644,0,375.0,311
50,50.0,42.0,0.9128738621586476,0,702.0,518
60,60.0,37.0,0.7503250975292588,0,577.0,692
70,70.0,56.0,1.2522756827048114,0,963.0,951
80,80.0,59.0,0.9921976592977894,2,763.0,1262
90,90.0,84.0,1.776332899869961,-2,1366.0,1742
100,100.0,109.0,2.858257477243173,0,2198.0,2367
110,110.0,63.0,1.3315994798439532,0,1024.0,2817
120,120.0,76.0,1.566970091027308,0,1205.0,3077
130,130.0,93.0,2.4707412223667102,0,1900.0,3484
140,140.0,124.0,3.505851755526658,0,2696.0,3983
150,150.0,124.0,3.304291287386216,1,2541.0,4675
160,160.0,92.0,2.0078023407022108,0,1544.0,5316
170,170.0,141.0,3.2418725617685307,-1,2493.0,5931
180,180.0,190.0,5.198959687906372,0,3998.0,6820
190,190.0,200.0,5.037711313394018,0,3874.0,7945
200,200.0,205.0,5.4044213263979195,0,4156.0,9082
210,210.0,174.0,4.327698309492848,1,3328.0,10203
220,220.0,213.0,6.192457737321196,-1,4762.0,11049
230,230.0,160.0,4.392717815344604,1,3378.0,11874
240,240.0,192.0,5.8426527958387515,-1,4493.0,12700
250,250.0,253.0,8.252275682704811,0,6346.0,13726
260,260.0,324.0,11.140442132639793,0,8567.0,15093
270,270.0,245.0,7.741222366710013,1,5953.0,16230
280,280.0,227.0,6.492847854356307,0,4993.0,17385
290,290.0,262.0,8.137841352405722,-1,6258.0,18672
300,300.0,271.0,8.882964889466841,2,6831.0,20098
310,310.0,318.0,11.084525357607282,-2,8524.0,21745
320,320.0,276.0,9.23667100130039,2,7103.0,23270
330,330.0,268.0,8.403120936280883,1,6462.0,24809
340,340.0,275.0,7.928478543563069,-3,6097.0,26129
350,350.0,303.0,9.48374512353706,1,7293.0,27540
360,360.0,350.0,12.301690507152145,0,9460.0,29216
370,370.0,285.0,10.383615084525358,-1,7985.0,30958
380,380.0,286.0,9.88556566970091,1,7602.0,32490
390,390.0,331.0,9.59037711313394,1,7375.0,34157
400,400.0,330.0,10.29518855656697,-2,7917.0,36024
410,410.0,340.0,11.782834850455137,1,9061.0,37862
420,420.0,365.0,12.672301690507153,-1,9745.0,39763
430,430.0,412.0,13.749024707412223,1,10573.0,41739
440,440.0,340.0,8.925877763328998,0,6864.0,43665
450,450.0,336.0,10.618985695708712,1,8166.0,45371
460,460.0,372.0,14.213263979193759,0,10930.0,47084
470,470.0,401.0,15.057217165149545,1,11579.0,49062
480,480.0,391.0,14.723016905071521,-2,11322.0,51111
490,490.0,385.0,16.144343302990897,0,12415.0,53002
500,500.0,340.0,12.305591677503251,0,9463.0,54979
510,510.0,356.0,10.695708712613785,-1,8225.0,56971
520,520.0,394.0,13.096228868660598,3,10071.0,59098
530,530.0,384.0,11.451235370611183,3,8806.0,61186
540,540.0,343.0,10.12743823146944,-6,7788.0,63101
550,550.0,376.0,10.453836150845254,1,8039.0,64814
560,560.0,376.0,10.958387516254877,0,8427.0,66722
570,570.0,379.0,13.608582574772432,-1,10465.0,68665
580,580.0,342.0,13.605981794538362,2,10463.0,70502
590,590.0,331.0,13.499349804941483,-1,10381.0,72083
600,600.0,358.0,15.94148244473342,0,12259.0,73829
610,610.0,400.0,17.570871261378414,3,13512.0,75779
620,620.0,305.0,12.308192457737322,-2,9465.0,77666
630,630.0,257.0,9.244473342002602,0,7109.0,79252
