step,sim_time,queue_total,waiting_time_avg,throughput,delay_total,stops
10,10.0,3.0,0.01950585175552666,0,15.0,0
20,20.0,14.0,0.1235370611183355,0,95.0,4
30,30.0,23.0,0.3693107932379714,0,284.0,6
40,40.0,23.0,0.48764629388816644,0,375.0,6
50,50.0,42.0,0.9128738621586476,0,702.0,12
60,60.0,37.0,0.7503250975292588,0,577.0,11
70,70.0,44.0,1.0,0,769.0,13
80,80.0,59.0,0.9908972691807543,2,762.0,17
90,90.0,82.0,1.76332899869961,0,1356.0,24
100,100.0,113.0,2.8556566970091026,0,2196.0,33
110,110.0,65.0,1.3394018205461637,0,1030.0,19
120,120.0,80.0,1.6137841352405722,0,1241.0,24
130,130.0,103.0,2.576072821846554,0,1981.0,30
140,140.0,125.0,3.6644993498049416,1,2818.0,37
150,150.0,113.0,3.023407022106632,0,2325.0,33
160,160.0,93.0,1.8959687906371911,2,1458.0,27
170,170.0,146.0,3.3159947984395317,0,2550.0,43
180,180.0,191.0,5.0650195058517555,0,3895.0,57
190,190.0,193.0,4.720416124837452,1,3630.0,57
200,200.0,233.0,5.868660598179454,1,4513.0,69
210,210.0,187.0,4.755526657997399,0,3657.0,56
220,220.0,215.0,6.434330299089727,1,4948.0,64
230,230.0,166.0,4.5773732119635895,3,3520.0,49
240,240.0,206.0,5.897269180754226,0,4535.0,61
250,250.0,269.0,8.036410923276984,1,6180.0,80
260,260.0,311.0,10.459037711313394,1,8043.0,93
270,270.0,237.0,7.840052015604681,0,6029.0,71
280,280.0,229.0,6.953185955786736,1,5347.0,68
290,290.0,281.0,9.033810143042913,4,6947.0,84
300,300.0,279.0,8.99479843953186,1,6917.0,83
310,310.0,320.0,11.053315994798439,0,8500.0,96
320,320.0,276.0,8.921976592977893,0,6861.0,82
330,330.0,287.0,9.332899869960988,0,7177.0,86
340,340.0,299.0,9.339401820546163,0,7182.0,89
350,350.0,296.0,9.945383615084525,0,7648.0,88
360,360.0,317.0,11.192457737321197,1,8607.0,95
370,370.0,241.0,9.197659297789336,0,7073.0,72
380,380.0,295.0,9.235370611183354,2,7102.0,88
390,390.0,342.0,8.99479843953186,1,6917.0,102
400,400.0,363.0,9.973992197659298,1,7670.0,108
410,410.0,353.0,10.791937581274382,1,8299.0,105
420,420.0,361.0,12.443433029908972,1,9569.0,108
430,430.0,417.0,14.864759427828348,2,11431.0,125
