step,sim_time,queue_total,waiting_time_avg,throughput,delay_total,stops
10,10.0,3.0,0.01950585175552666,0,15.0,0
20,20.0,14.0,0.1235370611183355,0,95.0,4
30,30.0,18.0,0.25097529258777634,0,193.0,5
40,40.0,19.0,0.3250975292587776,0,250.0,5
50,50.0,40.0,0.6957087126137841,0,535.0,12
60,60.0,51.0,0.8556566970091027,0,658.0,15
70,70.0,51.0,1.2977893368010402,0,998.0,15
80,80.0,35.0,0.6202860858257477,2,477.0,10
90,90.0,59.0,1.1209362808842653,0,862.0,17
100,100.0,91.0,1.953185955786736,0,1502.0,27
110,110.0,80.0,1.3758127438231469,0,1058.0,24
120,120.0,110.0,2.3472041612483747,0,1805.0,33
130,130.0,106.0,2.071521456436931,1,1593.0,31
140,140.0,137.0,2.9609882964889467,0,2277.0,41
150,150.0,115.0,2.749024707412224,0,2114.0,34
160,160.0,92.0,1.4694408322496748,0,1130.0,27
170,170.0,158.0,2.8985695708712615,0,2229.0,47
180,180.0,147.0,3.3472041612483747,2,2574.0,44
190,190.0,172.0,4.130039011703511,2,3176.0,51
200,200.0,205.0,5.100130039011703,1,3922.0,61
210,210.0,174.0,4.2808842652795835,3,3292.0,52
220,220.0,158.0,4.005201560468141,1,3080.0,47
230,230.0,104.0,2.1014304291287385,2,1616.0,31
240,240.0,136.0,2.410923276983095,1,1854.0,40
250,250.0,181.0,2.8049414824447334,1,2157.0,54
260,260.0,228.0,4.508452535760728,1,3467.0,68
270,270.0,296.0,7.084525357607282,0,5448.0,88
280,280.0,267.0,8.17815344603381,1,6289.0,80
290,290.0,192.0,6.22626788036411,2,4788.0,57
300,300.0,210.0,4.988296488946684,1,3836.0,63
310,310.0,165.0,3.1807542262678803,0,2446.0,49
320,320.0,195.0,3.3211963589076725,0,2554.0,58
330,330.0,231.0,4.537061118335501,0,3489.0,69
340,340.0,259.0,5.594278283485045,2,4302.0,77
350,350.0,292.0,6.71001300390117,2,5160.0,87
360,360.0,251.0,6.037711313394018,0,4643.0,75
370,370.0,269.0,8.573472041612483,0,6593.0,80
380,380.0,268.0,7.35890767230169,2,5659.0,80
390,390.0,261.0,8.507152145643692,1,6542.0,78
400,400.0,287.0,8.931079323797139,1,6868.0,86
410,410.0,259.0,6.400520156046814,2,4922.0,77
420,420.0,263.0,6.2379713914174255,2,4797.0,78
430,430.0,267.0,5.772431729518856,3,4439.0,80
