step,sim_time,queue_total,waiting_time_avg,throughput,delay_total,stops
10,10.0,3.0,0.01950585175552666,0,15.0,9
20,20.0,14.0,0.1235370611183355,0,95.0,52
30,30.0,18.0,0.25097529258777634,0,193.0,152
40,40.0,19.0,0.3250975292587776,0,250.0,273
50,50.0,40.0,0.7048114434330299,0,542.0,446
60,60.0,50.0,0.8751625487646294,0,673.0,683
70,70.0,55.0,1.3589076723016904,0,1045.0,1002
80,80.0,28.0,0.5604681404421327,2,431.0,1140
90,90.0,54.0,1.0325097529258778,-2,794.0,1358
100,100.0,82.0,1.7269180754226268,0,1328.0,1733
110,110.0,68.0,0.9947984395318595,0,765.0,2113
120,120.0,105.0,2.1222366710013003,0,1632.0,2589
130,130.0,116.0,2.0507152145643692,0,1577.0,3257
140,140.0,149.0,3.40962288686606,0,2622.0,4071
150,150.0,120.0,3.2444733420026006,0,2495.0,4624
160,160.0,90.0,1.3224967490247075,1,1017.0,4970
170,170.0,145.0,2.811443433029909,-1,2162.0,5529
180,180.0,134.0,2.9271781534460337,0,2251.0,6159
190,190.0,152.0,3.542262678803641,2,2724.0,6863
200,200.0,199.0,4.582574772431729,-2,3524.0,7806
210,210.0,175.0,3.8504551365409623,0,2961.0,8822
220,220.0,135.0,3.054616384915475,0,2349.0,9413
230,230.0,99.0,1.893368010403121,0,1456.0,10080
240,240.0,140.0,2.3498049414824447,2,1807.0,10774
250,250.0,150.0,2.776332899869961,0,2135.0,11532
260,260.0,211.0,4.444733420026008,-1,3418.0,12405
270,270.0,297.0,6.932379713914174,0,5331.0,13771
280,280.0,285.0,8.154746423927179,1,6271.0,15436
290,290.0,203.0,5.7373211963589075,-1,4412.0,16413
300,300.0,218.0,5.083224967490247,1,3909.0,17382
310,310.0,176.0,3.647594278283485,-1,2805.0,18402
320,320.0,152.0,3.0078023407022108,1,2313.0,19365
330,330.0,190.0,3.6840052015604683,-2,2833.0,20298
340,340.0,246.0,5.195058517555267,0,3995.0,21462
350,350.0,321.0,7.418725617685306,1,5705.0,23187
360,360.0,268.0,8.156046814044213,-1,6272.0,24589
370,370.0,292.0,7.87516254876463,1,6056.0,26116
380,380.0,325.0,10.201560468140443,-1,7845.0,27652
390,390.0,285.0,11.435630689206763,1,8794.0,29157
400,400.0,284.0,11.87256176853056,1,9130.0,30503
410,410.0,233.0,8.439531859557867,-1,6490.0,31781
420,420.0,253.0,6.747724317295188,2,5189.0,33049
430,430.0,291.0,8.23407022106632,-1,6332.0,34250
440,440.0,324.0,10.841352405721716,-2,8337.0,35664
450,450.0,437.0,15.156046814044213,6,11655.0,37444
460,460.0,299.0,9.052015604681404,-3,6961.0,39238
470,470.0,265.0,8.011703511053316,-3,6161.0,40554
480,480.0,289.0,9.669700910273082,1,7436.0,42068
490,490.0,284.0,8.42262678803641,2,6477.0,43670
500,500.0,268.0,9.29778933680104,-3,7150.0,45092
510,510.0,272.0,9.806241872561769,2,7541.0,46365
520,520.0,319.0,12.377113133940181,1,9518.0,47922
530,530.0,280.0,13.261378413524056,0,10198.0,49331
540,540.0,276.0,10.546163849154746,2,8110.0,50615
550,550.0,220.0,7.2561768530559165,-4,5580.0,51894
560,560.0,247.0,6.976592977893368,0,5365.0,53247
570,570.0,328.0,8.018205461638491,-1,6166.0,54789
580,580.0,404.0,11.989596879063718,1,9220.0,56696
590,590.0,455.0,15.689206762028608,0,12065.0,58790
600,600.0,339.0,11.838751625487646,2,9104.0,60743
610,610.0,275.0,10.902470741222366,-3,8384.0,62238
620,620.0,296.0,13.010403120936282,1,10005.0,63492
